COMMAND,COMMAND_PATH,TYPE,COMMAND_GROUP,ARGUMENT,ALIAS,MULTIPLE_USE,PARAMETER,MULTIPLE_PARAMETER,TOOLTIP
Config,conda.config,PARAMETER,Config Modifiers,--get,,FALSE,KEY,TRUE,Get a configuration value.
Config,conda.config,PARAMETER,Config Modifiers,--append,,FALSE,LIST_KEY_VALUE,FALSE,Add one configuration value to the end of a list key.
Config,conda.config,PARAMETER,Config Modifiers,--add,,FALSE,LIST_KEY_VALUE,FALSE,Add one configuration value to the beginning of a list key.
Config,conda.config,PARAMETER,Config Modifiers,--prepend,,FALSE,LIST_KEY_VALUE,FALSE,Add one configuration value to the beginning of a list key.
Config,conda.config,PARAMETER,Config Modifiers,--set,,FALSE,KEY_VALUE,FALSE,Set a boolean or string key
Config,conda.config,PARAMETER,Config Modifiers,--remove,,FALSE,LIST_KEY_VALUE,FALSE,Remove a configuration value from a list key.
Config,conda.config,PARAMETER,Config Modifiers,--remove-key,,FALSE,KEY_TO_REMOVE,FALSE,Remove a configuration key (and all its values).
Config,conda.config,OPTION,Config Modifiers,--stdin,,FALSE,,,Apply configuration information given in yaml format piped through stdin.
Create,conda.create,POSITIONAL,positional arguments,,,FALSE,PACKAGE_SPEC,TRUE,Packages to install or update in the conda environment.
Create,conda.create,OPTION,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
Create,conda.create,PARAMETER,Optional arguments,--clone,,FALSE,ENV,FALSE,Path to (or name of) existing local environment.
Create,conda.create,PARAMETER,Optional arguments,--file,,FALSE,FILE,FALSE,Read package versions from the given file.
Create,conda.create,OPTION,Optional arguments,--dev,,FALSE,,,Use `sys.executable -m conda` in wrapper scripts
Create,conda.create,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
Create,conda.create,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
Create,conda.create,PARAMETER,Channel Customization,--channel,-c,FALSE,CHANNEL,TRUE,Additional channel to search for packages.
Create,conda.create,OPTION,Channel Customization,--use-local,,FALSE,,,Use locally built packages.
Create,conda.create,OPTION,Channel Customization,--override-channels,,FALSE,,,Do not search default or .condarc channels. 
Create,conda.create,PARAMETER,Channel Customization,--repodata-fn,,FALSE,REPODATA_FNS,FALSE,Specify name of repodata on remote server.
Create,conda.create,OPTION,Solver Mode Modifiers,--strict-channel-priority,,FALSE,,,Take packages from highest priority channel.
Create,conda.create,OPTION,Solver Mode Modifiers,--no-channel-priority,,FALSE,,,Package version takes precedence over channel priority.
Create,conda.create,OPTION,Solver Mode Modifiers,--no-deps,,FALSE,,,"Do not install, update, remove, or change dependencies."
Create,conda.create,OPTION,Solver Mode Modifiers,--only-deps,,FALSE,,,Only install dependencies.
Create,conda.create,OPTION,Solver Mode Modifiers,--no-pin,,FALSE,,,Ignore pinned file.
Create,conda.create,OPTION,Solver Mode Modifiers,--no-default-packages,,FALSE,,,Ignore create_default_packages in the .condarc file.
Create,conda.create,PARAMETER,Solver Mode Modifiers,--experimental-solver,,FALSE,SOLVER,FALSE,EXPERIMENTAL. Choose which solver backend to use.
Create,conda.create,OPTION,Package Linking and Install-time Options,--copy,,FALSE,,,Install all packages using copies instead of hard- or soft-linking.
Create,conda.create,OPTION,Package Linking and Install-time Options,--no-shortcuts,,FALSE,,,Don't install start menu shortcuts
Create,conda.create,OPTION,Networking Options,--use-index-cache,-C,FALSE,,,"Use cache of channel index files, even if it has expired."
Create,conda.create,OPTION,Networking Options,--insecure,-k,FALSE,,,"Allow conda to perform ""insecure"" SSL connections and transfers."
Create,conda.create,OPTION,Networking Options,--offline,,FALSE,,,Offline mode. Don't connect to the Internet.
Create,conda.create,OPTION,"Output, Prompt, and Flow Control Options",--dry-run,-d,FALSE,,,Only display what would have been done.
Create,conda.create,OPTION,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
Create,conda.create,OPTION,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
Create,conda.create,OPTION,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
Create,conda.create,OPTION,"Output, Prompt, and Flow Control Options",--yes,-y,FALSE,,,Do not ask for confirmation.
Create,conda.create,OPTION,"Output, Prompt, and Flow Control Options",--download-only,,FALSE,,,"Solve environment, population caches, exit prior to linking."
Create,conda.create,OPTION,"Output, Prompt, and Flow Control Options",--show-channel-urls,,FALSE,,,Show channel urls.
Info,conda.info,OPTION,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
Info,conda.info,OPTION,Optional arguments,--all,-a,FALSE,,,Show all information.
Info,conda.info,OPTION,Optional arguments,--base,,FALSE,,,Display base environment path.
Info,conda.info,OPTION,Optional arguments,--envs,-e,FALSE,,,List all known conda environments.
Info,conda.info,OPTION,Optional arguments,--system,-s,FALSE,,,List environment variables.
Info,conda.info,OPTION,Optional arguments,--unsafe-channels,,FALSE,,,Display list of channels with tokens exposed.
Info,conda.info,OPTION,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
Info,conda.info,OPTION,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
Info,conda.info,OPTION,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
init,conda.init,POSITIONAL,positional arguments,,,FALSE,SHELLS,TRUE,One or more shells to be initialized.
init,conda.init,OPTION,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
init,conda.init,OPTION,Optional arguments,--all,,FALSE,,,Initialize all currently available shells.
init,conda.init,OPTION,Optional arguments,--anaconda-prompt,,FALSE,,,Add an 'Anaconda Prompt' icon to your desktop.
init,conda.init,OPTION,Optional arguments,--dry-run,-d,FALSE,,,Only display what would have been done.
init,conda.init,OPTION,setup type,--reverse,,FALSE,,,Undo past effects of conda init.
init,conda.init,OPTION,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
init,conda.init,OPTION,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
init,conda.init,OPTION,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
install,conda.install,POSITIONAL,positional arguments,,,FALSE,PACKAGE_SPEC,TRUE,Packages to install or update in the conda environment.
install,conda.install,OPTION,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
install,conda.install,PARAMETER,Optional arguments,--revision,,FALSE,REVISION,FALSE,Revert to the specified REVISION.
install,conda.install,PARAMETER,Optional arguments,--file,,FALSE,FILE,FALSE,Read package versions from the given file.
install,conda.install,OPTION,Optional arguments,--dev,,FALSE,,,Use `sys.executable -m conda` in wrapper scripts
install,conda.install,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
install,conda.install,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
install,conda.install,PARAMETER,Channel Customization,--channel,-c,FALSE,CHANNEL,TRUE,Additional channel to search for packages.
install,conda.install,OPTION,Channel Customization,--use-local,,FALSE,,,Use locally built packages.
install,conda.install,OPTION,Channel Customization,--override-channels,,FALSE,,,Do not search default or .condarc channels.
install,conda.install,PARAMETER,Channel Customization,--repodata-fn,,FALSE,REPODATA_FNS,FALSE,Specify name of repodata on remote server.
install,conda.install,OPTION,Solver Mode Modifiers,--strict-channel-priority,,FALSE,,,Take packages from highest priority channel.
install,conda.install,OPTION,Solver Mode Modifiers,--no-channel-priority,,FALSE,,,Package version takes precedence over channel priority.
install,conda.install,OPTION,Solver Mode Modifiers,--no-deps,,FALSE,,,"Do not install, update, remove, or change dependencies."
install,conda.install,OPTION,Solver Mode Modifiers,--only-deps,,FALSE,,,Only install dependencies.
install,conda.install,OPTION,Solver Mode Modifiers,--no-pin,,FALSE,,,Ignore pinned file.
install,conda.install,PARAMETER,Solver Mode Modifiers,--experimental-solver,,FALSE,SOLVER,FALSE,EXPERIMENTAL. Choose which solver backend to use.
install,conda.install,OPTION,Solver Mode Modifiers,--force-reinstall,,FALSE,,,Force reinstall of package.
install,conda.install,OPTION,Solver Mode Modifiers,--no-update-deps,,FALSE,,,Do not update or change already-installed dependencies.
install,conda.install,OPTION,Solver Mode Modifiers,--freeze-installed,,FALSE,,,Do not update or change already-installed dependencies.
install,conda.install,OPTION,Solver Mode Modifiers,--update-deps,,FALSE,,,Update dependencies.
install,conda.install,OPTION,Solver Mode Modifiers,--satisfied-skip-solve,-S,FALSE,,,Exit early and do not run the solver if the requested specs are satisfied.
install,conda.install,OPTION,Solver Mode Modifiers,--all,,FALSE,,,Update all installed packages in the environment.
install,conda.install,OPTION,Solver Mode Modifiers,--update-all,,FALSE,,,Update all installed packages in the environment.
install,conda.install,OPTION,Solver Mode Modifiers,--update-specs,,FALSE,,,Update based on provided specifications.
install,conda.install,OPTION,Package Linking and Install-time Options,--copy,,FALSE,,,Install all packages using copies instead of hard- or soft-linking.
install,conda.install,OPTION,Package Linking and Install-time Options,--no-shortcuts,,FALSE,,,Don't install start menu shortcuts
install,conda.install,OPTION,Package Linking and Install-time Options,--mkdir,-m,FALSE,,,Create the environment directory if necessary.
install,conda.install,OPTION,Package Linking and Install-time Options,--clobber,,FALSE,,,Allow clobbering of overlapping file paths within
install,conda.install,OPTION,Networking Options,--use-index-cache,-C,FALSE,,,"Use cache of channel index files, even if it has expired."
install,conda.install,OPTION,Networking Options,--insecure,-k,FALSE,,,"Allow conda to perform ""insecure"" SSL connections and transfers."
install,conda.install,OPTION,Networking Options,--offline,,FALSE,,,Offline mode. Don't connect to the Internet.
install,conda.install,OPTION,"Output, Prompt, and Flow Control Options",--dry-run,-d,FALSE,,,Only display what would have been done.
install,conda.install,OPTION,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
install,conda.install,OPTION,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
install,conda.install,OPTION,"Output, Prompt, and Flow Control Options",--verbose,-v,FALSE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
install,conda.install,OPTION,"Output, Prompt, and Flow Control Options",--yes,-y,FALSE,,,Do not ask for confirmation.
install,conda.install,OPTION,"Output, Prompt, and Flow Control Options",--download-only,,FALSE,,,"Solve environment, population caches, exit prior to linking."
install,conda.install,OPTION,"Output, Prompt, and Flow Control Options",--show-channel-urls,,FALSE,,,Show channel urls.
list,conda.list,POSITIONAL,positional arguments,,,FALSE,REGEX,FALSE,List only packages matching this regular expression.
list,conda.list,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
list,conda.list,OPTIONAL,Optional arguments,--show-channel-urls,,FALSE,,,Show channel urls.
list,conda.list,OPTIONAL,Optional arguments,--canonical,-c,FALSE,,,Output canonical names of packages only.
list,conda.list,OPTIONAL,Optional arguments,--full-name,-f,FALSE,,,Only search for full names.
list,conda.list,OPTIONAL,Optional arguments,--explicit,,FALSE,,,List explicitly all installed conda packaged with URL
list,conda.list,OPTIONAL,Optional arguments,--md5,,FALSE,,,Add MD5 hashsum when using --explicit
list,conda.list,OPTIONAL,Optional arguments,--export,-e,FALSE,,,Output requirement string only.
list,conda.list,OPTIONAL,Optional arguments,--revisions,-r,FALSE,,,List the revision history and exit.
list,conda.list,OPTIONAL,Optional arguments,--no-pip,,FALSE,,,Do not include pip-only installed packages.
list,conda.list,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
list,conda.list,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
list,conda.list,OUTPUT,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
list,conda.list,OUTPUT,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
list,conda.list,OUTPUT,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
package,conda.package,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
package,conda.package,PARAMETER,Optional arguments,--which,-w,FALSE,PATH,FALSE,Given some PATH print which conda package the file came from.
package,conda.package,OPTIONAL,Optional arguments,--reset,-r,FALSE,,,Remove all untracked files and exit.
package,conda.package,OPTIONAL,Optional arguments,--untracked,-u,FALSE,,,Display all untracked files and exit.
package,conda.package,PARAMETER,Optional arguments,--pkg-name,,FALSE,PKG_NAME,FALSE,Package name of the created package.
package,conda.package,PARAMETER,Optional arguments,--pkg-version,,FALSE,PKG_VERSION,FALSE,Package version of the created package.
package,conda.package,PARAMETER,Optional arguments,--pkg-build,,FALSE,PKG_BUILD,FALSE,Package build number of the created package.
package,conda.package,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
package,conda.package,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
remove,conda.remove,POSITIONAL,positional arguments,,,FALSE,PACKAGE_NAME,TRUE,Package names to remove from the environment.
remove,conda.remove,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
remove,conda.remove,OPTIONAL,Optional arguments,--dev,,FALSE,,,Use `sys.executable -m conda` in wrapper scripts.
remove,conda.remove,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
remove,conda.remove,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
remove,conda.remove,PARAMETER,Channel Customization,--channel,-c,FALSE,CHANNEL,TRUE,Additional channel to search for packages.
remove,conda.remove,OPTIONAL,Channel Customization,--use-local,,FALSE,,,Use locally built packages.
remove,conda.remove,OPTIONAL,Channel Customization,--override-channels,,FALSE,,,Do not search default or .condarc channels.
remove,conda.remove,PARAMETER,Channel Customization,--repodata-fn,,FALSE,REPODATA_FNS,FALSE,Specify name of repodata on remote server.
remove,conda.remove,OPTIONAL,Solver Mode Modifiers,--all,,FALSE,,,Remove all packages.
remove,conda.remove,OPTIONAL,Solver Mode Modifiers,--features,,FALSE,,,Remove features (instead of packages).
remove,conda.remove,OPTIONAL,Solver Mode Modifiers,--force,,FALSE,,,Forces removal of a package without removing packages that depend on it.
remove,conda.remove,OPTIONAL,Solver Mode Modifiers,--force-remove,,FALSE,,,Forces removal of a package without removing packages that depend on it.
remove,conda.remove,OPTIONAL,Solver Mode Modifiers,--no-pin,,FALSE,,,Ignore pinned file.
remove,conda.remove,PARAMETER,Solver Mode Modifiers,--experimental-solver,,FALSE,SOLVER,FALSE,EXPERIMENTAL. Choose which solver backend to use.
remove,conda.remove,OPTIONAL,Networking Options,--use-index-cache,-C,FALSE,,,"Use cache of channel index files, even if it has expired."
remove,conda.remove,OPTIONAL,Networking Options,--insecure,-k,FALSE,,,
remove,conda.remove,OPTIONAL,Networking Options,--offline,,FALSE,,,Offline mode. Don't connect to the Internet.
remove,conda.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--dry-run,-d,FALSE,,,Only display what would have been done.
remove,conda.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
remove,conda.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
remove,conda.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
remove,conda.remove,OPTIONAL,"Output, Prompt, and Flow Control Options",--yes,-y,FALSE,,,Do not ask for confirmation.
run,conda.run,POSITIONAL,positional arguments,,,FALSE,EXECUTABLE_CALL,FALSE,Executable name with additional arguments.
run,conda.run,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
run,conda.run,OPTIONAL,Optional arguments,--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
run,conda.run,OPTIONAL,Optional arguments,--dev,,FALSE,,,Sets `CONDA_EXE` to `python -m conda`.
run,conda.run,OPTIONAL,Optional arguments,--debug-wrapper-scripts,,FALSE,,,Echo wrapper script debug info to stderr.
run,conda.run,PARAMETER,Optional arguments,--cwd,,FALSE,CWD,FALSE,Current working directory for command to run in.
run,conda.run,OPTIONAL,Optional arguments,--no-capture-output,,FALSE,,,Don't capture stdout/stderr
run,conda.run,OPTIONAL,Optional arguments,--live-stream,,FALSE,,,Display the output in real time.
run,conda.run,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
run,conda.run,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
search,conda.search,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show this help message and exit.
search,conda.search,OPTIONAL,Optional arguments,--envs,,FALSE,,,Search all of the current user's environments.
search,conda.search,OPTIONAL,Optional arguments,--info,-i,FALSE,,,Provide detailed information about each package.
search,conda.search,PARAMETER,Optional arguments,--subdir,,FALSE,SUBDIR,FALSE,Search the given sub-directory.
search,conda.search,PARAMETER,Optional arguments,--platform,,FALSE,SUBDIR,FALSE,Platform.
search,conda.search,PARAMETER,Channel Customization,--channel,-c,FALSE,CHANNEL,TRUE,Additional channel to search for packages.
search,conda.search,OPTIONAL,Channel Customization,--use-local,,FALSE,,,Use locally built packages.
search,conda.search,OPTIONAL,Channel Customization,--override-channels,,FALSE,,,Do not search default or .condarc channels.
search,conda.search,PARAMETER,Channel Customization,--repodata-fn,,FALSE,REPODATA_FNS,FALSE,Specify name of repodata on remote server.
search,conda.search,OPTIONAL,Networking Options,--use-index-cache,-C,FALSE,,,"Use cache of channel index files, even if it has expired."
search,conda.search,OPTIONAL,Networking Options,--insecure,-k,FALSE,,,"Allow conda to perform ""insecure"" SSL connections and transfers."
search,conda.search,OPTIONAL,Networking Options,--offline,,FALSE,,,Offline mode. Don't connect to the Internet.
search,conda.search,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
search,conda.search,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
search,conda.search,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
update,conda.update,POSITIONAL,positional arguments,,,FALSE,PACKAGE_SPEC,TRUE,Packages to install or update in the conda
update,conda.update,OPTIONAL,Optional arguments,--help,-h,FALSE,,,Show help message and exit.
update,conda.update,PARAMETER,Optional arguments,--file,,FALSE,FILE,FALSE,Read package versions from the given file.
update,conda.update,PARAMETER,Target Environment Specification,--name,-n,FALSE,ENVIRONMENT,FALSE,Name of environment.
update,conda.update,PARAMETER,Target Environment Specification,--prefix,-p,FALSE,PATH,FALSE,Full path to environment location.
update,conda.update,PARAMETER,Channel Customization,--channel,-c,FALSE,CHANNEL,TRUE,Additional channel to search for packages.
update,conda.update,OPTIONAL,Channel Customization,--use-local,,FALSE,,,Use locally built packages.
update,conda.update,OPTIONAL,Channel Customization,--override-channels,,FALSE,,,Do not search default or .condarc channels.
update,conda.update,OPTIONAL,Channel Customization,--repodata-fn,,FALSE,REPODATA_FNS,FALSE,Specify name of repodata on remote server.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--strict-channel-priority,,FALSE,,,Take packages from highest priority channel.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--no-channel-priority,,FALSE,,,Package version takes precedence over channel priority.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--no-deps,,FALSE,,,"Do not install, update, remove, or change dependencies."
update,conda.update,OPTIONAL,Solver Mode Modifiers,--only-deps,,FALSE,,,Only install dependencies.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--no-pin,,FALSE,,,Ignore pinned file.
update,conda.update,PARAMETER,Solver Mode Modifiers,--experimental-solver,,FALSE,SOLVER,FALSE,EXPERIMENTAL. Choose which solver backend to use.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--force-reinstall,,FALSE,,,Force reinstall of package.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--no-update-deps,,FALSE,,,Do not update or change already-installed dependencies.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--freeze-installed,,FALSE,,,Do not update or change already-installed dependencies.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--update-deps,,FALSE,,,Update dependencies.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--satisfied-skip-solve,-S,FALSE,,,Exit early and do not run the solver if the requested specs are satisfied.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--all,,FALSE,,,Update all installed packages in the environment.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--update-all,,FALSE,,,Update all installed packages in the environment.
update,conda.update,OPTIONAL,Solver Mode Modifiers,--update-specs,,FALSE,,,Update based on provided specifications.
update,conda.update,OPTIONAL,Package Linking and Install-time Options,--copy,,FALSE,,,Install all packages using copies instead of hard- or soft-linking.
update,conda.update,OPTIONAL,Package Linking and Install-time Options,--no-shortcuts,,FALSE,,,Don't install start menu shortcuts
update,conda.update,OPTIONAL,Package Linking and Install-time Options,--clobber,,FALSE,,,Allow clobbering of overlapping file paths within
update,conda.update,OPTIONAL,Networking Options,--use-index-cache,-C,FALSE,,,"Use cache of channel index files, even if it has expired."
update,conda.update,OPTIONAL,Networking Options,--insecure,-k,FALSE,,,"Allow conda to perform ""insecure"" SSL connections and transfers."
update,conda.update,OPTIONAL,Networking Options,--offline,,FALSE,,,Offline mode. Don't connect to the Internet.
update,conda.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--dry-run,-d,FALSE,,,Only display what would have been done.
update,conda.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--json,,FALSE,,,Report all output as json.
update,conda.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--quiet,-q,FALSE,,,Do not display progress bar.
update,conda.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--verbose,-v,TRUE,,,"Use once for INFO, twice for DEBUG, three times for TRACE"
update,conda.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--yes,-y,FALSE,,,Do not ask for confirmation.
update,conda.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--download-only,,FALSE,,,"Solve environment, population caches, exit prior to linking."
update,conda.update,OPTIONAL,"Output, Prompt, and Flow Control Options",--show-channel-urls,,FALSE,,,Show channel urls.
env,conda.env,COMMAND,Command,create,,FALSE,,,Create an environment based on an environment file.
env,conda.env,COMMAND,Command,export,,FALSE,,,Export a given environment.
env,conda.env,COMMAND,Command,list,,FALSE,,,List the Conda environments.
env,conda.env,COMMAND,Command,remove,,FALSE,,,Remove an environment.
env,conda.env,COMMAND,Command,update,,FALSE,,,Update the current environment based on environment file.
env,conda.env,COMMAND,Command,config,,FALSE,,,Configure a conda environment.
create,conda.env.create,POSITIONAL,positional arguments,,,FALSE,REMOTE_DEFINITION,FALSE,Remote environment definition.
